r/R,c/R
0.148122392,0.10436782
0.171766342,0.11770115
0.207927677,0.13425287
0.23713491,0.14482759
0.270514604,0.15425287
0.295549374,0.15977011
0.326147427,0.16482759
0.352573018,0.16827586
0.38178025,0.17195402
0.413769124,0.17609195
0.441585535,0.17885057
0.470792768,0.18183908
0.5,0.1845977
0.527816412,0.18735632
0.559805285,0.18942529
0.589012517,0.19103448
0.612656467,0.19218391
0.644645341,0.19310345
0.673852573,0.19402299
0.701668985,0.19448276
0.729485396,0.19471264
0.757301808,0.19471264
0.783727399,0.19494253
0.80876217,0.19517241
0.829624478,0.19471264
0.85744089,0.19402299
0.883866481,0.19425287
0.938108484,0.19494253
0.967315716,0.19586207
0.997913769,0.19632184
